artist,song,comment
aespa,aespa 에스파 &#39;Whiplash&#39; MV,남돌조차 못할 컨셉... 날이 갈 수록 완성체가 되는 느낌.... 진심 독보적이다
aespa,aespa 에스파 &#39;Whiplash&#39; MV,"노래 미쳤네. 이게 음악이고 이게 작품이지ㅋㅋ 진짜 장난이나치는 노래 같지도않은 노래차트에있는 노래 다 끌어내려야지. 이게 진짜 퀄리티있고, 음악같은 음악이지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
aespa,aespa 에스파 &#39;Whiplash&#39; MV,역대 에스파 노래중에 가장 내취향임 너무 좋다 ㅋㅋㅋ 몇시간째 듣는중
aespa,aespa 에스파 &#39;Whiplash&#39; MV,그리고 코덕이면 알겠지만 한명한명 다 메이크업도 개 트렌디함.. 채도 싹 빠진 립에 하이라이터 빔 봐라 하..
aespa,aespa 에스파 &#39;Whiplash&#39; MV,스엠 진짜 일 잘하네 ㅋㅋㅋㅋ 뮤비퀄이 미쳤음 시각적 청각적 자극이 동시에 들어오니까 홀린듯이 계속 보게됨
aespa,aespa 에스파 &#39;Whiplash&#39; MV,올해는 정말 완벽한 에스파의 해였다.. 상반기에 발매한 정규로 인기 초대박치고 멜론차트 역대 최장기간 1위도 찍고 시상식에서 대상까지 휩쓸고 제 2의 전성기를 맞이했는데 지금 위플레쉬까지ㅋㅋㅋㅋㅋ 에스파는 그냥 하나의 장르인듯ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
aespa,aespa 에스파 &#39;Whiplash&#39; MV,2024 에스파 대상 확정 mv. 슈퍼노바-아마겟돈-위플레시 3연타 지렸다지렸어
aespa,aespa 에스파 &#39;Whiplash&#39; MV,또 찢었네 비주얼 디렉터 누굴까 ㅈㄴ 궁금하다 매번 새로운데 깊이도 있음
aespa,aespa 에스파 &#39;Whiplash&#39; MV,어떻게 이렇게 독특하고 어떻게 보면 난해한 컨셉을 세련되게 말아주냐.. 자칫하면 촌스러워 보일 수도 있는데 완전 힙함. Whiplash.
aespa,aespa 에스파 &#39;Whiplash&#39; MV,광고하는 분이 만든 뮤비인가 싶다. 세련의 극치를 달린다. 멤버들도 너무 찰떡이다.
